sku,trade_id,trade_name,category,tier_id,tier_name,duration_id,duration_name,hours,billable_hourly_usd,multiplier,total_usd,stripe_product_name,stripe_product_description,stripe_price_currency,stripe_price_amount_cents,client_reference_id_template
plumbers_journeyman_full,plumbers,Plumbers,mechanical,journeyman,Journeyman,full,Full Day,8,82,1.0,656,Journeyman Plumbers — Full Day (8h),"Journeyman-tier plumbers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,65600,plumbers_journeyman_full_656
plumbers_journeyman_weekly,plumbers,Plumbers,mechanical,journeyman,Journeyman,weekly,Weekly,40,82,0.92,3018,Journeyman Plumbers — Weekly (40h),"Journeyman-tier plumbers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,301800,plumbers_journeyman_weekly_3018
plumbers_master_half,plumbers,Plumbers,mechanical,master,Master / Foreman,half,Half Day,4,110,1.0,440,Master / Foreman Plumbers — Half Day (4h),"Master / Foreman-tier plumbers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,44000,plumbers_master_half_440
plumbers_master_full,plumbers,Plumbers,mechanical,master,Master / Foreman,full,Full Day,8,110,1.0,880,Master / Foreman Plumbers — Full Day (8h),"Master / Foreman-tier plumbers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,88000,plumbers_master_full_880
plumbers_master_weekly,plumbers,Plumbers,mechanical,master,Master / Foreman,weekly,Weekly,40,110,0.92,4048,Master / Foreman Plumbers — Weekly (40h),"Master / Foreman-tier plumbers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,404800,plumbers_master_weekly_4048
commercial-plumbers_apprentice_half,commercial-plumbers,Commercial Plumbers,mechanical,apprentice,Apprentice,half,Half Day,4,62,1.0,248,Apprentice Commercial Plumbers — Half Day (4h),"Apprentice-tier commercial plumbers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,24800,commercial-plumbers_apprentice_half_248
commercial-plumbers_apprentice_full,commercial-plumbers,Commercial Plumbers,mechanical,apprentice,Apprentice,full,Full Day,8,62,1.0,496,Apprentice Commercial Plumbers — Full Day (8h),"Apprentice-tier commercial plumbers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,49600,commercial-plumbers_apprentice_full_496
commercial-plumbers_apprentice_weekly,commercial-plumbers,Commercial Plumbers,mechanical,apprentice,Apprentice,weekly,Weekly,40,62,0.92,2282,Apprentice Commercial Plumbers — Weekly (40h),"Apprentice-tier commercial plumbers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,228200,commercial-plumbers_apprentice_weekly_2282
commercial-plumbers_journeyman_half,commercial-plumbers,Commercial Plumbers,mechanical,journeyman,Journeyman,half,Half Day,4,92,1.0,368,Journeyman Commercial Plumbers — Half Day (4h),"Journeyman-tier commercial plumbers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,36800,commercial-plumbers_journeyman_half_368
commercial-plumbers_journeyman_full,commercial-plumbers,Commercial Plumbers,mechanical,journeyman,Journeyman,full,Full Day,8,92,1.0,736,Journeyman Commercial Plumbers — Full Day (8h),"Journeyman-tier commercial plumbers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,73600,commercial-plumbers_journeyman_full_736
commercial-plumbers_journeyman_weekly,commercial-plumbers,Commercial Plumbers,mechanical,journeyman,Journeyman,weekly,Weekly,40,92,0.92,3386,Journeyman Commercial Plumbers — Weekly (40h),"Journeyman-tier commercial plumbers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,338600,commercial-plumbers_journeyman_weekly_3386
commercial-plumbers_master_half,commercial-plumbers,Commercial Plumbers,mechanical,master,Master / Foreman,half,Half Day,4,125,1.0,500,Master / Foreman Commercial Plumbers — Half Day (4h),"Master / Foreman-tier commercial plumbers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,50000,commercial-plumbers_master_half_500
commercial-plumbers_master_full,commercial-plumbers,Commercial Plumbers,mechanical,master,Master / Foreman,full,Full Day,8,125,1.0,1000,Master / Foreman Commercial Plumbers — Full Day (8h),"Master / Foreman-tier commercial plumbers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,100000,commercial-plumbers_master_full_1000
commercial-plumbers_master_weekly,commercial-plumbers,Commercial Plumbers,mechanical,master,Master / Foreman,weekly,Weekly,40,125,0.92,4600,Master / Foreman Commercial Plumbers — Weekly (40h),"Master / Foreman-tier commercial plumbers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,460000,commercial-plumbers_master_weekly_4600
riggers_apprentice_half,riggers,Riggers,heavy,apprentice,Apprentice,half,Half Day,4,52,1.0,208,Apprentice Riggers — Half Day (4h),"Apprentice-tier riggers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,20800,riggers_apprentice_half_208
riggers_apprentice_full,riggers,Riggers,heavy,apprentice,Apprentice,full,Full Day,8,52,1.0,416,Apprentice Riggers — Full Day (8h),"Apprentice-tier riggers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,41600,riggers_apprentice_full_416
riggers_apprentice_weekly,riggers,Riggers,heavy,apprentice,Apprentice,weekly,Weekly,40,52,0.92,1914,Apprentice Riggers — Weekly (40h),"Apprentice-tier riggers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,191400,riggers_apprentice_weekly_1914
riggers_journeyman_half,riggers,Riggers,heavy,journeyman,Journeyman,half,Half Day,4,76,1.0,304,Journeyman Riggers — Half Day (4h),"Journeyman-tier riggers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,30400,riggers_journeyman_half_304
riggers_journeyman_full,riggers,Riggers,heavy,journeyman,Journeyman,full,Full Day,8,76,1.0,608,Journeyman Riggers — Full Day (8h),"Journeyman-tier riggers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,60800,riggers_journeyman_full_608
riggers_journeyman_weekly,riggers,Riggers,heavy,journeyman,Journeyman,weekly,Weekly,40,76,0.92,2797,Journeyman Riggers — Weekly (40h),"Journeyman-tier riggers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,279700,riggers_journeyman_weekly_2797
riggers_master_half,riggers,Riggers,heavy,master,Master / Foreman,half,Half Day,4,102,1.0,408,Master / Foreman Riggers — Half Day (4h),"Master / Foreman-tier riggers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,40800,riggers_master_half_408
riggers_master_full,riggers,Riggers,heavy,master,Master / Foreman,full,Full Day,8,102,1.0,816,Master / Foreman Riggers — Full Day (8h),"Master / Foreman-tier riggers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,81600,riggers_master_full_816
riggers_master_weekly,riggers,Riggers,heavy,master,Master / Foreman,weekly,Weekly,40,102,0.92,3754,Master / Foreman Riggers — Weekly (40h),"Master / Foreman-tier riggers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,375400,riggers_master_weekly_3754
welders_apprentice_half,welders,Welders,structural,apprentice,Apprentice,half,Half Day,4,48,1.0,192,Apprentice Welders — Half Day (4h),"Apprentice-tier welders for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,19200,welders_apprentice_half_192
welders_apprentice_full,welders,Welders,structural,apprentice,Apprentice,full,Full Day,8,48,1.0,384,Apprentice Welders — Full Day (8h),"Apprentice-tier welders for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,38400,welders_apprentice_full_384
welders_apprentice_weekly,welders,Welders,structural,apprentice,Apprentice,weekly,Weekly,40,48,0.92,1766,Apprentice Welders — Weekly (40h),"Apprentice-tier welders for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,176600,welders_apprentice_weekly_1766
welders_journeyman_half,welders,Welders,structural,journeyman,Journeyman,half,Half Day,4,72,1.0,288,Journeyman Welders — Half Day (4h),"Journeyman-tier welders for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,28800,welders_journeyman_half_288
welders_journeyman_full,welders,Welders,structural,journeyman,Journeyman,full,Full Day,8,72,1.0,576,Journeyman Welders — Full Day (8h),"Journeyman-tier welders for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,57600,welders_journeyman_full_576
welders_journeyman_weekly,welders,Welders,structural,journeyman,Journeyman,weekly,Weekly,40,72,0.92,2650,Journeyman Welders — Weekly (40h),"Journeyman-tier welders for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,265000,welders_journeyman_weekly_2650
welders_master_half,welders,Welders,structural,master,Master / Foreman,half,Half Day,4,98,1.0,392,Master / Foreman Welders — Half Day (4h),"Master / Foreman-tier welders for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,39200,welders_master_half_392
welders_master_full,welders,Welders,structural,master,Master / Foreman,full,Full Day,8,98,1.0,784,Master / Foreman Welders — Full Day (8h),"Master / Foreman-tier welders for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,78400,welders_master_full_784
welders_master_weekly,welders,Welders,structural,master,Master / Foreman,weekly,Weekly,40,98,0.92,3606,Master / Foreman Welders — Weekly (40h),"Master / Foreman-tier welders for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,360600,welders_master_weekly_3606
operating-engineers_apprentice_half,operating-engineers,Operating Engineers,heavy,apprentice,Apprentice,half,Half Day,4,62,1.0,248,Apprentice Operating Engineers — Half Day (4h),"Apprentice-tier operating engineers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,24800,operating-engineers_apprentice_half_248
operating-engineers_apprentice_full,operating-engineers,Operating Engineers,heavy,apprentice,Apprentice,full,Full Day,8,62,1.0,496,Apprentice Operating Engineers — Full Day (8h),"Apprentice-tier operating engineers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,49600,operating-engineers_apprentice_full_496
operating-engineers_apprentice_weekly,operating-engineers,Operating Engineers,heavy,apprentice,Apprentice,weekly,Weekly,40,62,0.92,2282,Apprentice Operating Engineers — Weekly (40h),"Apprentice-tier operating engineers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,228200,operating-engineers_apprentice_weekly_2282
operating-engineers_journeyman_half,operating-engineers,Operating Engineers,heavy,journeyman,Journeyman,half,Half Day,4,90,1.0,360,Journeyman Operating Engineers — Half Day (4h),"Journeyman-tier operating engineers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,36000,operating-engineers_journeyman_half_360
operating-engineers_journeyman_full,operating-engineers,Operating Engineers,heavy,journeyman,Journeyman,full,Full Day,8,90,1.0,720,Journeyman Operating Engineers — Full Day (8h),"Journeyman-tier operating engineers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,72000,operating-engineers_journeyman_full_720
operating-engineers_journeyman_weekly,operating-engineers,Operating Engineers,heavy,journeyman,Journeyman,weekly,Weekly,40,90,0.92,3312,Journeyman Operating Engineers — Weekly (40h),"Journeyman-tier operating engineers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,331200,operating-engineers_journeyman_weekly_3312
operating-engineers_master_half,operating-engineers,Operating Engineers,heavy,master,Master / Foreman,half,Half Day,4,120,1.0,480,Master / Foreman Operating Engineers — Half Day (4h),"Master / Foreman-tier operating engineers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,48000,operating-engineers_master_half_480
operating-engineers_master_full,operating-engineers,Operating Engineers,heavy,master,Master / Foreman,full,Full Day,8,120,1.0,960,Master / Foreman Operating Engineers — Full Day (8h),"Master / Foreman-tier operating engineers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,96000,operating-engineers_master_full_960
operating-engineers_master_weekly,operating-engineers,Operating Engineers,heavy,master,Master / Foreman,weekly,Weekly,40,120,0.92,4416,Master / Foreman Operating Engineers — Weekly (40h),"Master / Foreman-tier operating engineers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,441600,operating-engineers_master_weekly_4416
heavy-equipment_apprentice_half,heavy-equipment,Heavy Equipment Operators,heavy,apprentice,Apprentice,half,Half Day,4,58,1.0,232,Apprentice Heavy Equipment Operators — Half Day (4h),"Apprentice-tier heavy equipment operators for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,23200,heavy-equipment_apprentice_half_232
heavy-equipment_apprentice_full,heavy-equipment,Heavy Equipment Operators,heavy,apprentice,Apprentice,full,Full Day,8,58,1.0,464,Apprentice Heavy Equipment Operators — Full Day (8h),"Apprentice-tier heavy equipment operators for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,46400,heavy-equipment_apprentice_full_464
heavy-equipment_apprentice_weekly,heavy-equipment,Heavy Equipment Operators,heavy,apprentice,Apprentice,weekly,Weekly,40,58,0.92,2134,Apprentice Heavy Equipment Operators — Weekly (40h),"Apprentice-tier heavy equipment operators for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,213400,heavy-equipment_apprentice_weekly_2134
heavy-equipment_journeyman_half,heavy-equipment,Heavy Equipment Operators,heavy,journeyman,Journeyman,half,Half Day,4,85,1.0,340,Journeyman Heavy Equipment Operators — Half Day (4h),"Journeyman-tier heavy equipment operators for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,34000,heavy-equipment_journeyman_half_340
heavy-equipment_journeyman_full,heavy-equipment,Heavy Equipment Operators,heavy,journeyman,Journeyman,full,Full Day,8,85,1.0,680,Journeyman Heavy Equipment Operators — Full Day (8h),"Journeyman-tier heavy equipment operators for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,68000,heavy-equipment_journeyman_full_680
heavy-equipment_journeyman_weekly,heavy-equipment,Heavy Equipment Operators,heavy,journeyman,Journeyman,weekly,Weekly,40,85,0.92,3128,Journeyman Heavy Equipment Operators — Weekly (40h),"Journeyman-tier heavy equipment operators for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,312800,heavy-equipment_journeyman_weekly_3128
heavy-equipment_master_half,heavy-equipment,Heavy Equipment Operators,heavy,master,Master / Foreman,half,Half Day,4,115,1.0,460,Master / Foreman Heavy Equipment Operators — Half Day (4h),"Master / Foreman-tier heavy equipment operators for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,46000,heavy-equipment_master_half_460
heavy-equipment_master_full,heavy-equipment,Heavy Equipment Operators,heavy,master,Master / Foreman,full,Full Day,8,115,1.0,920,Master / Foreman Heavy Equipment Operators — Full Day (8h),"Master / Foreman-tier heavy equipment operators for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,92000,heavy-equipment_master_full_920
heavy-equipment_master_weekly,heavy-equipment,Heavy Equipment Operators,heavy,master,Master / Foreman,weekly,Weekly,40,115,0.92,4232,Master / Foreman Heavy Equipment Operators — Weekly (40h),"Master / Foreman-tier heavy equipment operators for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,423200,heavy-equipment_master_weekly_4232
